sector_id|weight_id|Sector|Weighting|AFFO Growth (Year 1)|AFFO Growth (Year 2)|AFFO Growth (Year 3)|AFFO Growth (Year 4)|1-Year Forward REIT AFFO Yield|AFFO Yield (Year 0)|AFFO Yield (Year 1)|AFFO Yield (Year 2)|AFFO Yield (Year 3)|AFFO Yield (Year 4)|Cap-Ex Reserve|Economic Cap Rate|Implied Economic Cap Rate|Market Cap Rate|Implied Market Cap Rate|Nominal Cap Rate|Implied Nominal Cap Rate|Implied Net Nominal Cap Rate|Nominal Cap Rate (2019 NOI)|Nominal Cap Rate (2022 NOI)|Implied Net Nominal Cap Rate (2019 NOI)|Implied Net Nominal Cap Rate (2022 NOI)|Debt to EBITDA|Dividend Coverage|Dividend Yield|EBITDA Multiple (Year 1)|EBITDA Multiple (Year 2)|EBITDA Multiple (Year 3)|EBITDA Multiple (Year 4)|Net GAV Premium|Premium to GAV|IRR (Unlevered Return Expectation)|Implied IRR|Comprehensive Leverage|Net Leverage|Net Leverage Ex-Preferreds|Premium to NAV|Year 1 - Defined|Year 2 - Defined|Year 3 - Defined
19|0|Data Center||0.07876571|0.07520425|0.08328348|0.08543954|0.03267571|0.02973093|0.03207271|0.03448471|0.03735672|0.04054846|0.17800285|0.04936033|0.04110461|||0.06014448|0.05007334|0.04968074|0.0590173|0.06165887|0.04873642|0.05093377|5.91473684|1.19296648|0.02883068|0.02493824|0.02361032|0.02195469|0.02000785|0.20902645|0.1998486|0.0626844|0.04738136|0.31289742|0.35417889|0.33320323|0.32548964|2021|2022|2023
20|0|Net Lease||0.02585563|0.00663061|0.01386031|0.01749934|0.05601002|0.05450799|0.05591733|0.05628809|0.05706826|0.05806692|0.03045136|0.06956399|0.0544212|||0.07174789|0.05616249|0.05589248|0.0708591|0.06786439|0.05540734|0.05310891|5.34510623|1.84386521|0.0411941|||||0.29101307|0.28451747|0.06957422|0.06120332|0.3081154|0.42732799|0.41044277|0.50506289|2021|2022|2023
23|0|Health Care - Medical Office|||||||||||||||||||||||||||||||||||||||2021|2022|2023
25|0|Health Care - Skilled Nursing|||||||||||||||||||||||||||||||||||||||2021|2022|2023
30|0|Single-Family Rental||0.10404381|0.18374907|0.08917024|0.08520907|0.02724289|0.02359181|0.02604639|0.03083239|0.03358172|0.03644319|0.15990867|0.03980874|0.03706869|||0.04738469|0.04412423|0.04409887|0.0439435|0.050798|0.04089168|0.04727783|5.7688225|2.34287293|0.01560296|||||0.07424302|0.07362122|0.06996944|0.06327527|0.24370507|0.29519978|0.26637749|0.10366635|2021|2022|2023
73|0|Health Care - Big 3|||||||||||||||||||||||||||||||||||||||2021|2022|2023
76|0|Mall LP|||||||||||||||||||||||||||||||||||||||2021|2022|2023
91|0|Gaming||0.05818225|0.03660362|0.03685435|0.04222448|0.06483604|0.06071554|0.06424811|0.06659982|0.06905431|0.0719701|0.02075373|0.06770518|0.06265522|||0.06914667|0.06401752|0.06395488|0.05134854|0.07020093|0.047621|0.06493318|5.5133259|1.29336369|0.04995193|||||0.08174337|0.08073426|0.07651931|0.06917691|0.29123345|0.39728407|0.39728407|0.13515971|2021|2022|2023
95|0|Cold Storage||0.14712187|0.11668601|0.15825721|0.17136838|0.03360219|0.02846232|0.03264975|0.03645952|0.0422295|0.0494663|0.16470588|0.04884315|0.04227348|||0.05847419|0.05060909|0.05024053|0.05453066|0.06122135|0.04685228|0.05260086|4.65492083|1.54153468|0.02118003|||||0.16388489|0.15540893|||0.23982891|0.26938101|0.26938101|0.22430965|2021|2022|2023
100|0|GS Universe||0.02086264|0.16564125|0.06552169|0.05384661|0.03411056|0.03397986|0.03468877|0.04043466|0.043084|0.04540393|0.17692498|0.04402255|0.04071755|0.01378659|0.01267646|0.05292878|0.04947203|0.0494085|0.05952957|0.05967713|0.0558502|0.05593078|6.20769449|0.60855217|0.02989911|60.61474552|9.31482725|8.45305295|8.00445345|0.08073629|0.07852837|0.06114012|0.05375218|0.33345256|0.36083845|0.34793993|0.13275007|2021|2022|2023
105|0|Tower||0.11170401|0.08386386|0.07319861|0.08183274|0.02971809|0.02618306|0.02910781|0.03154891|0.03385824|0.03662896|0.06735745|0.03921978|0.03242894|||0.04205284|0.03476545|0.03472674|0.03898999|0.04319697|0.03219908|0.03566991|9.46160474|2.05122969|0.01866985|0.03079846|0.02901365|0.02778511|0.02643898|0.21115627|0.20985578|0.06986387|0.06129577|0.40818928|0.4125302|0.4125302|0.3605661|2021|2022|2023
