Beginning of Month Date|End of Month Date|sector_id|Sector|Commercial Property Price Index (CPPI)|CPRI
01/09/1999|01/08/1999|101|GS Major Sector|54.03901616|33.99333784
01/10/1999|01/09/1999|1|Apartment|56.07565415|34.24559958
01/10/1999|01/09/1999|4|Health Care||
01/10/1999|01/09/1999|6|Industrial|60.13211528|36.23307153
01/10/1999|01/09/1999|7|Mall|53.45567245|33.71237737
01/10/1999|01/09/1999|8|Manufactured Home Park|59.02643326|35.12840802
01/10/1999|01/09/1999|9|Office|47.91958627|32.61015023
01/10/1999|01/09/1999|10|Self-Storage|52.33801186|29.38600525
01/10/1999|01/09/1999|11|Strip Center|56.0373684|34.95859342
01/10/1999|01/09/1999|13|Retail|54.82353139|34.50911809
01/10/1999|01/09/1999|100|GS Universe|53.70886796|33.51310024
01/10/1999|01/09/1999|101|GS Major Sector|54.40454988|34.41327937
01/11/1999|01/10/1999|1|Apartment|56.05509044|34.44436706
01/11/1999|01/10/1999|4|Health Care||
01/11/1999|01/10/1999|6|Industrial|60.42121198|36.61598595
01/11/1999|01/10/1999|7|Mall|53.43519145|33.87999144
01/11/1999|01/10/1999|8|Manufactured Home Park|59.02643326|35.34611429
01/11/1999|01/10/1999|9|Office|47.91958627|32.75819769
01/11/1999|01/10/1999|10|Self-Storage|52.33801186|29.59766336
01/11/1999|01/10/1999|11|Strip Center|56.03360772|35.16732028
01/11/1999|01/10/1999|13|Retail|54.81118924|34.69792737
01/11/1999|01/10/1999|100|GS Universe|53.73808076|33.72046251
01/11/1999|01/10/1999|101|GS Major Sector|54.46189028|34.64026483
01/12/1999|01/11/1999|1|Apartment|56.70828599|35.05837405
01/12/1999|01/11/1999|4|Health Care||
01/12/1999|01/11/1999|6|Industrial|61.02899634|37.19523332
01/12/1999|01/11/1999|7|Mall|54.00610706|34.42347731
01/12/1999|01/11/1999|8|Manufactured Home Park|59.76075928|36.00489771
01/12/1999|01/11/1999|9|Office|48.56583006|33.34869449
01/12/1999|01/11/1999|10|Self-Storage|52.75026241|30.04397774
01/12/1999|01/11/1999|11|Strip Center|56.38920924|35.60284822
01/12/1999|01/11/1999|13|Retail|55.2779197|35.19108814
01/12/1999|01/11/1999|100|GS Universe|54.31551741|34.27313665
01/12/1999|01/11/1999|101|GS Major Sector|55.05706495|35.21082871
01/01/2000|01/12/1999|1|Apartment|56.76238673|35.30833118
01/01/2000|01/12/1999|4|Health Care||
01/01/2000|01/12/1999|6|Industrial|60.61060058|37.1544938
01/01/2000|01/12/1999|7|Mall|53.61262006|34.35715969
01/01/2000|01/12/1999|8|Manufactured Home Park|59.76075928|36.22803597
01/01/2000|01/12/1999|9|Office|47.59946664|32.83652219
01/01/2000|01/12/1999|10|Self-Storage|52.75026241|30.26037502
01/01/2000|01/12/1999|11|Strip Center|56.3706733|35.80613872
01/01/2000|01/12/1999|13|Retail|55.06745768|35.25765961
01/01/2000|01/12/1999|100|GS Universe|53.94414773|34.23228695
01/01/2000|01/12/1999|101|GS Major Sector|54.64954598|35.14540765
01/02/2000|01/01/2000|1|Apartment|57.01305735|35.68209032
01/02/2000|01/01/2000|4|Health Care||
01/02/2000|01/01/2000|6|Industrial|60.61060058|37.3701028
01/02/2000|01/01/2000|7|Mall|53.59219518|34.52918319
01/02/2000|01/01/2000|8|Manufactured Home Park|59.76075928|36.45255712
01/02/2000|01/01/2000|9|Office|47.59946664|32.98890164
01/02/2000|01/01/2000|10|Self-Storage|52.75026241|30.47833094
01/02/2000|01/01/2000|11|Strip Center|56.366892|36.02003415
01/02/2000|01/01/2000|13|Retail|55.05512118|35.45123521
01/02/2000|01/01/2000|100|GS Universe|53.99174311|34.45691774
01/02/2000|01/01/2000|101|GS Major Sector|54.70682027|35.37841713
01/03/2000|01/02/2000|1|Apartment|57.67741119|36.31810636
01/03/2000|01/02/2000|4|Health Care||
01/03/2000|01/02/2000|6|Industrial|61.22029003|37.96287342
01/03/2000|01/02/2000|7|Mall|54.16490581|35.0842936
01/03/2000|01/02/2000|8|Manufactured Home Park|60.50422078|37.1319625
01/03/2000|01/02/2000|9|Office|48.2413933|33.58687672
01/03/2000|01/02/2000|10|Self-Storage|53.16576012|30.93792524
01/03/2000|01/02/2000|11|Strip Center|56.72461039|36.46623127
01/03/2000|01/02/2000|13|Retail|55.52399002|35.9557777
01/03/2000|01/02/2000|100|GS Universe|54.57192167|35.02291515
01/03/2000|01/02/2000|101|GS Major Sector|55.30468569|35.9625612
01/04/2000|01/03/2000|1|Apartment|56.54936275|35.83203875
01/04/2000|01/03/2000|4|Health Care||
01/04/2000|01/03/2000|6|Industrial|60.88157993|37.97313839
01/04/2000|01/03/2000|7|Mall|54.27029354|35.34174203
01/04/2000|01/03/2000|8|Manufactured Home Park|60.50422078|37.36208568
01/04/2000|01/03/2000|9|Office|48.58938726|33.98502042
01/04/2000|01/03/2000|10|Self-Storage|53.16576012|31.16076135
01/04/2000|01/03/2000|11|Strip Center|56.47399346|36.52543493
01/04/2000|01/03/2000|13|Retail|55.45534984|36.11688685
01/04/2000|01/03/2000|100|GS Universe|54.37921936|35.09822414
01/04/2000|01/03/2000|101|GS Major Sector|55.04042383|35.99152618
01/05/2000|01/04/2000|1|Apartment|56.52904119|36.04511001
01/05/2000|01/04/2000|4|Health Care||
01/05/2000|01/04/2000|6|Industrial|60.88157993|38.194812
01/05/2000|01/04/2000|7|Mall|54.24964329|35.51896189
01/05/2000|01/04/2000|8|Manufactured Home Park|60.50422078|37.59363504
01/05/2000|01/04/2000|9|Office|49.0565929|34.46827766
01/05/2000|01/04/2000|10|Self-Storage|51.55467648|30.44093697
01/05/2000|01/04/2000|11|Strip Center|56.47021512|36.74425068
01/05/2000|01/04/2000|13|Retail|55.44294416|36.31562436
01/05/2000|01/04/2000|100|GS Universe|54.3845715|35.30202525
01/05/2000|01/04/2000|101|GS Major Sector|55.16470949|36.27501673
01/06/2000|01/05/2000|1|Apartment|57.39282318|36.82326945
01/06/2000|01/05/2000|4|Health Care||
01/06/2000|01/05/2000|6|Industrial|61.69898716|38.93059019
01/06/2000|01/05/2000|7|Mall|54.67201202|35.98720242
01/06/2000|01/05/2000|8|Manufactured Home Park|61.17170578|38.2413539
01/06/2000|01/05/2000|9|Office|49.84678522|35.18218802
01/06/2000|01/05/2000|10|Self-Storage|52.67342695|31.32801816
01/06/2000|01/05/2000|11|Strip Center|56.77333048|37.16408379
01/06/2000|01/05/2000|13|Retail|55.80757447|36.76246362
01/06/2000|01/05/2000|100|GS Universe|55.09387655|35.96459021
01/06/2000|01/05/2000|101|GS Major Sector|55.87345123|36.94491415
01/07/2000|01/06/2000|1|Apartment|57.48261957|37.11325915
01/07/2000|01/06/2000|4|Health Care||
01/07/2000|01/06/2000|6|Industrial|59.82943053|37.97820739
01/07/2000|01/06/2000|7|Mall|52.53240758|34.77314233
01/07/2000|01/06/2000|8|Manufactured Home Park|61.17170578|38.47835247
01/07/2000|01/06/2000|9|Office|49.45899006|35.07047
01/07/2000|01/06/2000|10|Self-Storage|52.67342695|31.56112332
01/07/2000|01/06/2000|11|Strip Center|57.04780178|37.56891435
01/07/2000|01/06/2000|13|Retail|54.85045315|36.34258435
01/07/2000|01/06/2000|100|GS Universe|54.49674014|35.78075519
01/07/2000|01/06/2000|101|GS Major Sector|55.12381408|36.65687994
01/08/2000|01/07/2000|1|Apartment|57.46194518|37.33372714
01/08/2000|01/07/2000|4|Health Care||
01/08/2000|01/07/2000|6|Industrial|59.82943053|38.20733287
01/08/2000|01/07/2000|7|Mall|52.5132152|34.9564293
01/08/2000|01/07/2000|8|Manufactured Home Park|61.17170578|38.71681982
01/08/2000|01/07/2000|9|Office|49.93002806|35.56733111
01/08/2000|01/07/2000|10|Self-Storage|52.67342695|31.79596298
01/08/2000|01/07/2000|11|Strip Center|57.04395774|37.79223502
01/08/2000|01/07/2000|13|Retail|54.83858553|36.54637955
01/08/2000|01/07/2000|100|GS Universe|54.6189253|36.06813504
01/08/2000|01/07/2000|101|GS Major Sector|55.24712306|36.94783118
01/09/2000|01/08/2000|1|Apartment|58.33996452|38.13948247
01/09/2000|01/08/2000|4|Health Care||
01/09/2000|01/08/2000|6|Industrial|60.63271142|38.95081933
01/09/2000|01/08/2000|7|Mall|52.7948796|35.34102612
01/09/2000|01/08/2000|8|Manufactured Home Park|61.84655449|39.38389057
01/09/2000|01/08/2000|9|Office|50.73428947|36.3054054
01/09/2000|01/08/2000|10|Self-Storage|53.81645462|32.72253106
01/09/2000|01/08/2000|11|Strip Center|57.35012529|38.22228538
01/09/2000|01/08/2000|13|Retail|55.13281942|36.9553611
01/09/2000|01/08/2000|100|GS Universe|55.31238165|36.73491888
01/09/2000|01/08/2000|101|GS Major Sector|55.94019023|37.62198118
01/10/2000|01/09/2000|1|Apartment|58.15433604|38.25859459
01/10/2000|01/09/2000|4|Health Care||
01/10/2000|01/09/2000|6|Industrial|59.56630501|38.50074674
01/10/2000|01/09/2000|7|Mall|53.16362945|35.78721643
01/10/2000|01/09/2000|8|Manufactured Home Park|61.84655449|39.62796994
01/10/2000|01/09/2000|9|Office|51.37059847|36.92933876
01/10/2000|01/09/2000|10|Self-Storage|53.81645462|32.9660125
01/10/2000|01/09/2000|11|Strip Center|57.17139771|38.3329815
01/10/2000|01/09/2000|13|Retail|55.23945035|37.24216045
01/10/2000|01/09/2000|100|GS Universe|55.33968936|36.96580209
01/10/2000|01/09/2000|101|GS Major Sector|55.85217186|37.77730876
01/11/2000|01/10/2000|1|Apartment|58.13350158|38.48692573
01/11/2000|01/10/2000|4|Health Care||
01/11/2000|01/10/2000|6|Industrial|59.70880813|38.82957743
01/11/2000|01/10/2000|7|Mall|53.14408513|35.9744216
01/11/2000|01/10/2000|8|Manufactured Home Park|61.84655449|39.87356199
01/11/2000|01/10/2000|9|Office|51.37059847|37.09851265
01/11/2000|01/10/2000|10|Self-Storage|53.81645462|33.21130564
01/11/2000|01/10/2000|11|Strip Center|57.16755786|38.56165606
01/11/2000|01/10/2000|13|Retail|55.22744158|37.45065213
01/11/2000|01/10/2000|100|GS Universe|55.3509167|37.18747077
01/11/2000|01/10/2000|101|GS Major Sector|55.87753836|38.01047294
01/12/2000|01/11/2000|1|Apartment|59.02186511|39.31863655
01/12/2000|01/11/2000|4|Health Care||
01/12/2000|01/11/2000|6|Industrial|60.51046952|39.58965591
01/12/2000|01/11/2000|7|Mall|53.55760278|36.45583012
01/12/2000|01/11/2000|8|Manufactured Home Park|62.52884816|40.56056281
01/12/2000|01/11/2000|9|Office|52.19806425|37.86603583
01/12/2000|01/11/2000|10|Self-Storage|54.9842863|34.1791183
01/12/2000|01/11/2000|11|Strip Center|57.4744014|39.00127887
01/12/2000|01/11/2000|13|Retail|55.59052082|37.91471222
01/12/2000|01/11/2000|100|GS Universe|56.07280013|37.88795423
01/12/2000|01/11/2000|101|GS Major Sector|56.59542008|38.71618464
01/01/2001|01/12/2000|1|Apartment|59.4179068|39.83140188
01/01/2001|01/12/2000|4|Health Care||
01/01/2001|01/12/2000|6|Industrial|60.95586004|40.12447651
01/01/2001|01/12/2000|7|Mall|53.09503978|36.34523678
01/01/2001|01/12/2000|8|Manufactured Home Park|62.52884816|40.81193454
01/01/2001|01/12/2000|9|Office|52.461363|38.23050553
01/01/2001|01/12/2000|10|Self-Storage|54.9842863|34.4334379
01/01/2001|01/12/2000|11|Strip Center|57.39874917|39.18525692
01/01/2001|01/12/2000|13|Retail|55.31387416|37.94662893
01/01/2001|01/12/2000|100|GS Universe|56.2033701|38.19575895
01/01/2001|01/12/2000|101|GS Major Sector|56.7954616|39.07447798
01/02/2001|01/01/2001|1|Apartment|58.73174845|39.62181751
01/02/2001|01/01/2001|4|Health Care||
01/02/2001|01/01/2001|6|Industrial|60.49997018|40.06916733
01/02/2001|01/01/2001|7|Mall|53.07570342|36.53755298
01/02/2001|01/01/2001|8|Manufactured Home Park|62.52884816|41.06486413
01/02/2001|01/01/2001|9|Office|51.97148603|38.04768996
01/02/2001|01/01/2001|10|Self-Storage|54.9842863|34.68964985
01/02/2001|01/01/2001|11|Strip Center|57.4551496|39.45989955
01/02/2001|01/01/2001|13|Retail|55.33097786|38.18000446
01/02/2001|01/01/2001|100|GS Universe|55.87800188|38.19537948
01/02/2001|01/01/2001|101|GS Major Sector|56.39710288|39.02297725
01/03/2001|01/02/2001|1|Apartment|59.59090325|40.45103879
01/03/2001|01/02/2001|4|Health Care||
01/03/2001|01/02/2001|6|Industrial|61.31225386|40.85230021
01/03/2001|01/02/2001|7|Mall|53.61854659|37.1179697
01/03/2001|01/02/2001|8|Manufactured Home Park|63.21866893|41.77239047
01/03/2001|01/02/2001|9|Office|52.80863077|38.83387777
01/03/2001|01/02/2001|10|Self-Storage|56.17746024|35.70054303
