sector_id|market_id|Sector|Market|Commentary|Strength #1|Strength #2|Strength #3|Weakness #1|Weakness #2|Weakness #3
1|168|Apartment|Denver|Denver: Denver continues to attract jobs from a diverse set of employment bases. YoY TAMI job growth  has been trending at an average of ~4% each month since the beginning of ’19. TAMI growth is supported by the in-migration of several startups and small tech firms, along with tech giants such as Facebook, Netflix, Amazon, and Apple. High-quality job opportunities, coupled with Denver’s desirable quality of life and access to nature, have attracted many young residents, making “The Mile-High City” a hot spot for millennial migration. Millennial demand has skyrocketed in trendy neighborhoods such as the LoHi / Highlands neighborhood in the Golden / Wheatridge submarket, and the RiNo Arts District in the Northeast submarket. Demand in the Downtown submarket is bolstered by the walkable, urban environment. Continued interest from affluent, highly-compensated millennials in these submarkets should allow for strong rent growth potential. The market’s low initial investment yields are offset by solid long-term growth, driving above-average risk-adjusted returns.|High competition for homeownership increases rental demand, notably in the downtown and Central submarkets|Millennials attracted to trendy LoDo and RiNo areas surrounding Downtown submarket|Increasing high income job growth driven by the TAMI sector |Heavy new development concentrated in Central and Downtown submarket; supply growth of ~2.0% in '21|Significant cap rate compression over last decade leads to average long-term return expectations|Bottom tier K-12 school ratings; decreases attractiveness for families choosing between comparable markets 
1|169|Apartment|Detroit|Detroit: Optimism in the “Motor City” is fading as employment figures weaken and investment in the market is failing to provide substantial and sustainable improvement. Economic growth is expected to lag the rest of the Midwest through the intermediate term, even with substantial investments from billionaire Dan Gilbert and national automotive companies. The metro is hindered by continued dependence on stagnating industries and fails to make a meaningful economic shift toward higher-growth industries. TAMI jobs have seen consistent net outflow for years, and overall employment growth in Detroit ranks among the lowest across top markets (~35% of the population lives below the poverty line). The lack of well-paying jobs hampers in-migration as new graduates and millennials choose more desirable markets that offer better compensation to start their careers. Tepid demand from minimal population and job growth mixed with low supply barriers provide a weak intermediate-term outlook for the apartment sector. Additionally, rising construction costs are leading developers to rethink their plans or ditch them all together as rents cannot keep up with increasing development costs. This is exemplified in projects like the East Jefferson Meijer, originally planned as a 213-unit mixed-use apartment / small-format grocer development that was abandoned in favor of a larger-format grocery store and parking lot. While the market has improved substantially since its bankruptcy in ‘13, the outlook still looks bleak.|Growing research and development initiatives by automotive companies supports robust  income growth|Minimal projected supply growth will likely put less pressure on stabilized assets and may offer rent growth upside|Spillover effect from University of Michigan students might help boost fundamentals in the Ann Arbor submarket|One of the highest unemployment rates, notably in the Midtown, Dearborn Downriver, and Downtown submarkets|Low cost-of-living drives a high homeownership rate that will weigh on apartment fundamentals|Struggles to attract millennial talent due to poor weather, limited walkability, and limited employment opportunities
1|170|Apartment|District of Columbia|District of Columbia: D.C. apartment fundamentals have remained steady thanks to decent business / professional services job growth, which has offset the stagnating government, finance, and information sectors. The metro has also seen increased hiring in the stable education and health services sectors. Several revitalization projects are currently underway that will reshape the metro, including Phase I of The Wharf, an urban renewal of D.C.’s southwest waterfront that opened in ’17. Phase II will bring an additional 1.15M SF of mixed-use development, slated to deliver by ’22. In November ‘18, Amazon announced that it will officially split its coveted HQ2 location between Crystal City, VA and Long Island City, NY, with each region gaining ~25K jobs. The announcement, which capitivated the attention of institutional investors, is widely viewed as a win for D.C. apartment operators who stand to benefit from an influx of highly-compensated employees.  While the metro’s affluent demographics and high cost of homeownership will continue to support apartment fundamentals, D.C. is also facing millennial out-migration. Strong millennial demand for rentals originally fueled D.C.’s apartment frenzy, but since ’15, out-migration has outpaced in-migration, which is a trend that is expected to persist and will serve as a future demand headwind for operators.|Better than average per capita income levels|Strong local universities|High cost of homeownership promotes renting|Millennial out-migration reduces demand|Recent volatility of government budgets / jobs|Competition from surrounding suburbs
1|171|Apartment|Fairfield County|Fairfield County: Statewide fiscal concerns and tepid job growth continue to suppress apartment fundamentals in Fairfield County. Outsized municipal debt and unfunded liabilities have forced higher tax rates, a major determinant for several corporate HQ departures over the past few years (e.g., GE to Boston, Starwood to Miami). Fairfield County has not been able to attract any large relocations to backfill those gaps left behind. Meanwhile, the metro continues to face the headwinds of a shift from active to passive investment management, though FIRE employment improved in '18 after 22 consecutive months of YoY job declines. The market serves as a suburban living alternative to Manhattan which attracts more families looking to live in homes than rent apartments. Millennial population growth continues to decelerate as more prefer to live closer to Manhattan-based jobs.  While limited new construction will support apartment rent growth, unfavorable demographics and fiscal health issues should handcuff long-term NOI growth.|Favorable demographics; abundance of high earners|Limited existing and new supply|Reacceleration in FIRE employment|Unfriendly business environment; high taxes|Inability to attract any large corporate moves|Fiscal health concerning
1|172|Apartment|Fort Lauderdale|Fort Lauderdale: Moderate job and population growth paired with middle-of-the-pack supply growth create a mixed outlook for Fort Lauderdale apartments. While tourism has historically been the primary economic growth driver, Fort Lauderdale’s economy is diversifying with a promising life sciences sector and steady job growth in the FIRE and professional / business services industries. The Fort Lauderdale, Plantation, and Miramar / Pembroke Pines submarkets have seen the most supply as developers seek opportunity north of Miami. Las Olas Boulevard in the Fort Lauderdale submarket has attracted significant development due to its walkable lifestyle and downtown feel. Las Olas Walk, a mixed-use development, will add ~1,200 luxury rental units to the submarket by late '20. For favorable demographics and a limited supply pipeline, investors should look to the Davie submarket, which boasts the wealthiest and most educated residents in the metro.  While Fort Lauderdale’s coastal location and steady job growth support a healthy rent profile, the market’s outlook is moderated by condo oversupply in the near term and a lack of meaningful supply barriers over the long term. |Desirable market that continues to attract millennials migrating along the coast|Population growth benefits from nearby Miami’s growth and the metro’s affordability relative to Miami|Davie submarket benefits from favorable demographics and a limited supply pipeline|Hurricanes increase cap-ex burden and insurance costs|Slowdown in influx of foreign capital and visitors likely to persist through Covid-19 pandemic |Notable development in Fort Lauderdale with >5.3k units under construction in ’20 
1|177|Apartment|Houston|Houston: After being impacted heavily by the energy bust in ’15, Houston’s economy is still recovering. A silver lining of the energy recession is a slightly more diversified economy; the health care sector has seen growth, exemplified by Texas Medical Center becoming the world’s largest medical complex. Petrochemical manufacturing and other downstream energy activities have also experienced outsized growth. Although Houston has diversified its economy in recent years, the 1Q’20 collapse in oil prices and Covid-19 pandemic have presented additional challenges for the market. A large amount of supply was delivered directly into the energy recession and is still being absorbed by the market, as evidenced by below-average occupancy rates. Now, given the current uncertain economic environment, the already-present vacancy rate troubles will likely be prolonged. The current supply pipeline, while not massive, is large enough to continue to put downward pressure on intermediate-term M-RevPAF growth. A lack of zoning laws and a sprawling metroplex provide little regulatory or physical barriers to entry, suppressing long-term growth. Investors should look west towards the Montrose / River Oaks and Museum submarkets where there are higher incomes, more expensive housing, and elevated rents, but in aggregate expect below-average long-term returns, as higher going in yields are offset by lackluster long-term NOI growth potential.|Houston’s low cost of living makes it a top candidate for in-migration and WFH relocators|One of the highest concentrations of Fortune 500 companies in the nation due to a favorable tax environment|Infrastructure improvements such as the NHHIP will expand freeways and improve poor commute times|Low supply barriers due to quick approval timelines, limited infrastructure constraints, and limited density restrictions|Nearly half of jobs (nine sectors – retail, food service, etc.) are sensitive to social distancing guidelines|Substantial economic exposure to the struggling energy sector
1|178|Apartment|Indianapolis|Indianapolis: The capital of the “Hoosier State” has little to offer apartment investors in terms of long-term rent growth, as structural headwinds stemming from poor demographics and minimal supply constraints create a challenging environment. The job growth occurring is largely seen in the warehouse and manufacturing sectors which, combined with an outflow of high-paying TAMI jobs, limits income growth potential. While a quicker Covid-19 recovery is expected in Indianapolis over the next few years, the market should revert to below-average long-term growth relative to other top markets. Rent growth is constrained by affordable homeownership options available throughout the metro, and despite low regulatory and physical barriers, supply growth screens below average. Most of the development occurring in the metro can be found in the Downtown and Southwest submarkets. Meanwhile, the surrounding suburban submarkets exhibit the highest median incomes in the metro and have had more success in attracting investors (e.g., Spruce Capital, who purchased a ~1k unit suburban portfolio in early ’20). Though strong intermediate-term growth and high going-in yields screen attractive on the surface, affordable home prices allow renters to quickly transition into homeowners, hurting long-term rent growth potential.|Above-average population growth over the intermediate term relative to other Midwest markets |Favorable demographic trends in the Downtown submarket |Low employment losses in ‘20 provides stability in downturns like the Covid-19 induced recession |High homeownership rate due to affordable homes limits apartment demand |Weak relative long-term rent growth potential in the East submarket |Low return expectations due to a lack of growth in high paying industries such as TAMI 
1|179|Apartment|Jacksonville|Jacksonville: While healthy population and job growth bode well for apartment demand in Jacksonville, supply growth concerns weigh heavily on long-term rent growth potential. The Southside submarket is seeing the bulk of oncoming supply as it has both cheap land for development and is home to a younger and more educated population. The Arlington and Downtown submarkets are also seeing significant supply growth, particularly as the city and developers try to revitalize downtown to attract and retain more residents.  Notable developments include the District, a $600M mixed-use development on the Southbank that will add ~1k residential units, a hotel, and a marina to the metro. Near the Southbank, San Marco is seeing substantial development with ~800 units to be added by '21. Investors should look to the Beaches submarket, which benefits from the market’s highest rents and limited supply along the coast. Strong population and employment growth will help Jacksonville weather the upcoming recession reasonably well, leading to above-average near-term M-RevPAF growth; however, the lack of any meaningful barriers to supply outside of the coast restrains long-term rent growth potential.   |Diversified labor force through FIRE / industrial sector kept nonfarm employment fundamentals relatively strong in ’20|Favorable business / living cost environment serves as a long-term catalyst for in-migration|School ratings in the metro, predominantly along The Beaches submarket should draw residents|Affordable single-family rental inventory outside of The Beaches puts pressure on multifamily demand|Population density is considerably below comparable Sun Belt metros|Large development pipeline with Baymeadows alone expected to deliver ~1,100 units (7.5% of stock) through ‘23
1|180|Apartment|Kansas City|Kansas City: A shallower trough in Covid-induced job losses versus most markets and solid expected intermediate growth are bright spots for Kansas City, but the metro’s longer-term return prospects continue to be hampered by structural headwinds. While the market’s supply pipeline remains below-average, new units will likely struggle to be absorbed in the face of subpar income and population growth. Employers such as the USDA and CarMax have chosen to establish new operations within the market, attracted by low costs of living and doing business. Existing companies such as Cerner, Garmin, and Burns McDonnel have all announced that they are expanding their footprint in the metro with plans to add over 18k combined jobs in the next few years (~3% expansion of the existing non-farm workforce). While hiring by these companies and efforts to improve local transportation infrastructure may help the metro recover from the Covid-19 fallout more quickly over the intermediate term, the metro’s continued inability to draw high-paying employers results in unfavorable long-term growth, driving below-average risk-adjusted returns.|High going-in yields and strong M-RevPAF growth lead to attractive areas, notably Overland Park North|Resilient and diversified economy makes it a low beta market|Low cost of living continues to lead to in-migration|Very low barriers to homeownership due to the low cost of homes in the metro|Low barriers to supply; supply growth of ~3.4% in ‘21 |The market lacks high income earners and employment growth will under perform relative to other Sun Belt markets
1|182|Apartment|Las Vegas|Las Vegas: Above-average job growth has bolstered Las Vegas apartment fundamentals in recent years, but this trend has dramatically reversed with Covid-19’s outsized hit on the hospitality and leisure industries. The market now faces all-time high levels of unemployment, among the worst of the top markets. The economy’s heavy reliance on the tourism and hospitality industries has proven to be an extreme risk, and its health will greatly depend on the future progression of the virus and the availability of a vaccine. Though jobs are expected to return in the future, and the Allegiant Stadium completion is expected to create ~1.2k new jobs, apartment demand will continue to face long-term fundamental headwinds created by a cheap single-family market that incentivizes homeownership and lower-paying job growth. As residents continue to migrate from California, many immediately look at investing in a home as housing prices are very affordable relative to the high-cost, West Coast markets. A strong focus on single family development has kept apartment supply in check, a positive for owners, but very low going-in yields combined with an uncertain path of recovery over the long-term limit investors’ return potential.|Being previously redlined as a housing bust market, supply has not caught up with the increased demand|Millennial population growth has been among the highest of the top markets since ’15; this trend should continue|No personal state income tax boosts the market’s desirability to both employers and employees|The affordability of homes and availability of single-family rentals limits apartment demand|Job growth is concentrated in low-paying industries; TAMI and FIRE job growth has failed to gain momentum|Low going-in yields and muted long-term growth prospects limit investor return potential
1|185|Apartment|Long Island|Long Island: After underwhelming job growth through much of the recent upcycle, Long Island’s local economy was one of the worst performers among the top  markets following the onset of the recession. The health care and education sectors, which have historically been a bright spot for job growth, experienced net declines throughout 1H’20, though the metro’s large government sector (~15% of jobs) held up relatively well. Long Island’s apartment demand generally benefits from New York City spillover, but this effect may be limited in the near term as the city grapples with economic fallout from the pandemic. It remains to be seen if tech growth in NYC will continue at its recent pace given the city’s fiscal issues and the acceleration in working from home, but already-announced expansions in ’19 (e.g., Google, Facebook, and Amazon) will provide incremental apartment demand. However, this will largely be confined to NYC’s urban core and Long Island submarkets in close proximity to Manhattan (i.e., Hempstead). Nearly 30% of Long Island’s population is between the ages of 45-64, among the highest across the top markets. As such, the region will likely never be a top destination for apartment investors due to its older, homeowning demographic, but a light supply pipeline should mitigate the job loss impact on rent growth to an extent.|Expensive cost of living and high home prices delays homebuying for many renters|Light supply pipeline allows owners to push rents from an already high absolute base|Some renter relocation from NYC as urban exodus boosts suburban market demand|~45% of the population is 45 years or older; less likely to rent|Tepid job growth through recent upcycle – lack of high growth industries|High homeownership rates as market caters itself to single-family homeowners who vacation from / commute to NYC
1|186|Apartment|Los Angeles|Los Angeles: The LA apartment market is comprised of many cities across a vast geographic area and contains some of the highest barrier-to-entry submarkets in the nation (e.g., Santa Monica, Malibu Hills). Demand for housing in LA continues to exceed available supply, putting pressure on renters in a high-barrier, landlord-favored market. In 2H’19, AB 1482 was enacted by Governor Newsom implementing statewide rent control for renewal offers on apartments older than 15 years. The law will be in effect from January ’20 until January ‘30. Additionally, Prop 21, a measure to repeal the Costa-Hawkins Rental Housing Act, will appear on the November ’20 ballot (a similar ballot measure failed in ’18), reigniting concern amongst landlords that local governments may be able to enact more restrictive forms of rent control. Prospective investors should look west of the I-405 freeway, known as the Westside, for the strongest long-term rent growth potential as these highly desirable and supply-constrained submarkets are supported by healthy demographics and solid high-paying job growth. Los Angeles is one of the most highly regulated markets in the U.S., as geographical barriers, NIMBYism, and elevated construction costs keep supply in check. Tight supply dynamics and robust demand will continue to contribute to strong long-term NOI growth for the market.|Residents are often forced to rent due to high tax rates and elevated mortgage-to-rent ratio|Malibu Hills, El Segundo, and Beverly Hills submarkets offer some of the strongest LT rent growth potential in the U.S. |Diverse labor force supported by quality local universities allow for above average income growth|Mediocre public transit infrastructure leads to heavy traffic congestion|Unfriendly business environment leading employers like CBRE to move headquarters out of the market|Unfriendly towards apartment landlords evidenced by eviction moratoriums and high bad debt rates among renters in '20
1|187|Apartment|Louisville|Louisville: With a regional focus and high employment concentration in manufacturing and other traditionally low-growth industries, Louisville’s economic prospects remain muted as compared with its Midwest peers. Some job growth has occurred in the metro, but mainly in the low-wage manufacturing and wholesale sectors; employment growth in the higher-paying TAMI and FIRE industries has been virtually nonexistent. A lack of demand stemming from minimal job growth is exacerbated by the metro’s relatively less desirable lifestyle, evident by minimal millennial population inflow. Demand headwinds and lack of  supply barriers limit a landlord’s ability to push rent. Additionally, the market’s low cost of living  drives homeownership relative to other metros, further hindering long-term rent growth. Like much of the Midwest, high going-in yields appear attractive, but there is little upside as the metro’s underwhelming outlook over the intermediate and long term limit return expectations.|Several large health care companies with a sizeable presence aids job creation|Stable cash flow stream with less volatility compared to high beta metros|Growing logistics industry may help improve GDP growth|Above-average projected supply growth will likely put additional pressure on rent growth potential|Low cost-of-living and a high homeownership rate will hinder apartment fundamentals in near-and long-term|The poor weather and high levels of crime relative to the top markets makes it difficult to attract millennial talent
